"Chronic Absenteeism, 2016-17"
"All Districts, English Learner Status"

"District","District Code","English Learner Status","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELL",16.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Non-ELL",8.7
"Amistad Academy District","=""2790013""","ELL","*"
"Amistad Academy District","=""2790013""","Non-ELL","*"
"Andover School District","=""0010011""","ELL","*"
"Andover School District","=""0010011""","Non-ELL","*"
"Ansonia School District","=""0020011""","ELL",17.0
"Ansonia School District","=""0020011""","Non-ELL",18.0
"Area Cooperative Educational Services","=""2440014""","ELL",14.9
"Area Cooperative Educational Services","=""2440014""","Non-ELL",19.4
"Ashford School District","=""0030011""","ELL","*"
"Ashford School District","=""0030011""","Non-ELL","*"
"Avon School District","=""0040011""","ELL",9.6
"Avon School District","=""0040011""","Non-ELL",5.4
"Barkhamsted School District","=""0050011""","Non-ELL",3.8
"Berlin School District","=""0070011""","ELL",8.9
"Berlin School District","=""0070011""","Non-ELL",11.9
"Bethany School District","=""0080011""","ELL","*"
"Bethany School District","=""0080011""","Non-ELL","*"
"Bethel School District","=""0090011""","ELL",5.5
"Bethel School District","=""0090011""","Non-ELL",4.2
"Bloomfield School District","=""0110011""","ELL","*"
"Bloomfield School District","=""0110011""","Non-ELL","*"
"Bolton School District","=""0120011""","ELL","*"
"Bolton School District","=""0120011""","Non-ELL","*"
"Booker T. Washington Academy District","=""2950013""","ELL","*"
"Booker T. Washington Academy District","=""2950013""","Non-ELL","*"
"Bozrah School District","=""0130011""","ELL","*"
"Bozrah School District","=""0130011""","Non-ELL","*"
"Branford School District","=""0140011""","ELL","*"
"Branford School District","=""0140011""","Non-ELL","*"
"Brass City Charter School District","=""2900013""","Non-ELL",7.3
"Bridgeport Achievement First District","=""2850013""","ELL","*"
"Bridgeport Achievement First District","=""2850013""","Non-ELL","*"
"Bridgeport School District","=""0150011""","ELL",16.4
"Bridgeport School District","=""0150011""","Non-ELL",18.7
"Bristol School District","=""0170011""","ELL",8.6
"Bristol School District","=""0170011""","Non-ELL",8.0
"Brookfield School District","=""0180011""","ELL",9.6
"Brookfield School District","=""0180011""","Non-ELL",4.4
"Brooklyn School District","=""0190011""","ELL","*"
"Brooklyn School District","=""0190011""","Non-ELL","*"
"Canaan School District","=""0210011""","ELL","*"
"Canaan School District","=""0210011""","Non-ELL","*"
"Canterbury School District","=""0220011""","Non-ELL",5.9
"Canton School District","=""0230011""","ELL","*"
"Canton School District","=""0230011""","Non-ELL","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Non-ELL",9.2
"Capitol Region Education Council","=""2410014""","ELL",18.4
"Capitol Region Education Council","=""2410014""","Non-ELL",13.7
"Chaplin School District","=""0240011""","Non-ELL",7.5
"Cheshire School District","=""0250011""","ELL","*"
"Cheshire School District","=""0250011""","Non-ELL","*"
"Chester School District","=""0260011""","ELL","*"
"Chester School District","=""0260011""","Non-ELL","*"
