"Chronic Absenteeism, 2017-18"
"All Districts, English Learner Status"

"",,,"Chronically Absent",
"District","District Code","English Learner Status","Student Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELL","*","*"
"Achievement First Bridgeport Academy District","=""2850013""","Non-ELL","*","*"
"Achievement First Hartford Academy District","=""2880013""","ELL",9,15.8
"Achievement First Hartford Academy District","=""2880013""","Non-ELL",61,6.0
"Amistad Academy District","=""2790013""","ELL",9,7.3
"Amistad Academy District","=""2790013""","Non-ELL",69,7.4
"Andover School District","=""0010011""","ELL",0,"*"
"Andover School District","=""0010011""","Non-ELL","*","*"
"Ansonia School District","=""0020011""","ELL",7,6.9
"Ansonia School District","=""0020011""","Non-ELL",418,19.4
"Area Cooperative Educational Services","=""2440014""","ELL",15,26.8
"Area Cooperative Educational Services","=""2440014""","Non-ELL",423,22.6
"Ashford School District","=""0030011""","ELL",0,"*"
"Ashford School District","=""0030011""","Non-ELL",25,"*"
"Avon School District","=""0040011""","ELL",8,7.8
"Avon School District","=""0040011""","Non-ELL",106,3.5
"Barkhamsted School District","=""0050011""","Non-ELL",7,3.1
"Berlin School District","=""0070011""","ELL",10,12.7
"Berlin School District","=""0070011""","Non-ELL",89,3.4
"Bethany School District","=""0080011""","ELL",0,"*"
"Bethany School District","=""0080011""","Non-ELL",22,"*"
"Bethel School District","=""0090011""","ELL",17,9.4
"Bethel School District","=""0090011""","Non-ELL",147,5.2
"Bloomfield School District","=""0110011""","ELL",6,9.8
"Bloomfield School District","=""0110011""","Non-ELL",132,7.2
"Bolton School District","=""0120011""","ELL","*","*"
"Bolton School District","=""0120011""","Non-ELL","*","*"
"Booker T. Washington Academy District","=""2950013""","ELL","*","*"
"Booker T. Washington Academy District","=""2950013""","Non-ELL","*","*"
"Bozrah School District","=""0130011""","ELL","*","*"
"Bozrah School District","=""0130011""","Non-ELL","*","*"
"Branford School District","=""0140011""","ELL",6,4.8
"Branford School District","=""0140011""","Non-ELL",256,9.7
"Brass City Charter School District","=""2900013""","ELL","*","*"
"Brass City Charter School District","=""2900013""","Non-ELL","*","*"
"Bridgeport School District","=""0150011""","ELL",666,18.1
"Bridgeport School District","=""0150011""","Non-ELL",3229,19.6
"Bristol School District","=""0170011""","ELL",51,12.5
"Bristol School District","=""0170011""","Non-ELL",597,8.1
"Brookfield School District","=""0180011""","ELL",8,7.5
"Brookfield School District","=""0180011""","Non-ELL",114,4.5
"Brooklyn School District","=""0190011""","ELL","*","*"
"Brooklyn School District","=""0190011""","Non-ELL","*","*"
"Canaan School District","=""0210011""","ELL",0,"*"
"Canaan School District","=""0210011""","Non-ELL",6,"*"
"Canterbury School District","=""0220011""","ELL",0,"*"
"Canterbury School District","=""0220011""","Non-ELL",22,"*"
"Canton School District","=""0230011""","ELL","*","*"
"Canton School District","=""0230011""","Non-ELL","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Non-ELL",26,6.4
"Capitol Region Education Council","=""2410014""","ELL",108,22.4
"Capitol Region Education Council","=""2410014""","Non-ELL",1099,15.7
"Chaplin School District","=""0240011""","ELL","*","*"
"Chaplin School District","=""0240011""","Non-ELL","*","*"
"Cheshire School District","=""0250011""","ELL","*","*"
"Cheshire School District","=""0250011""","Non-ELL","*","*"
"Chester School District","=""0260011""","ELL",0,"*"
"Chester School District","=""0260011""","Non-ELL","*","*"
"Clinton School District","=""0270011""","ELL",7,7.4
"Clinton School District","=""0270011""","Non-ELL",114,7.0
"Colchester School District","=""0280011""","ELL","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*"
"Colebrook School District","=""0290011""","Non-ELL","*","*"
"Columbia School District","=""0300011""","ELL",0,"*"
"Columbia School District","=""0300011""","Non-ELL",14,"*"
"Common Ground High School District","=""2680013""","ELL",0,"*"
"Common Ground High School District","=""2680013""","Non-ELL",29,"*"
"Connecticut Technical Education and Career System","=""9000016""","ELL",48,12.8
"Connecticut Technical Education and Career System","=""9000016""","Non-ELL",1295,12.9
"Cooperative Educational Services","=""2430014""","ELL","*","*"
"Cooperative Educational Services","=""2430014""","Non-ELL","*","*"
"Cornwall School District","=""0310011""","ELL",0,"*"
"Cornwall School District","=""0310011""","Non-ELL","*","*"
"Coventry School District","=""0320011""","ELL","*","*"
"Coventry School District","=""0320011""","Non-ELL","*","*"
"Cromwell School District","=""0330011""","ELL","*","*"
"Cromwell School District","=""0330011""","Non-ELL","*","*"
"Danbury School District","=""0340011""","ELL",214,6.9
"Danbury School District","=""0340011""","Non-ELL",601,7.4
"Darien School District","=""0350011""","ELL","*","*"
"Darien School District","=""0350011""","Non-ELL","*","*"
"Deep River School District","=""0360011""","ELL",0,"*"
"Deep River School District","=""0360011""","Non-ELL","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*","*"
"Derby School District","=""0370011""","ELL","*","*"
"Derby School District","=""0370011""","Non-ELL","*","*"
"East Granby School District","=""0400011""","ELL",0,"*"
"East Granby School District","=""0400011""","Non-ELL",42,"*"
